=== 1st Order UC Totals ===
,UCSD Art,UCSB Art,UCSC Art,UCLA Art,UCB Art,UCI Art,UCD Art,UCR Art,UCM Art,UCSD Unart,UCSB Unart,UCSC Unart,UCLA Unart,UCB Unart,UCI Unart,UCD Unart,UCR Unart,UCM Unart
Monterey_Peninsula_Community_College_District,96,134,104,74,44,0,176,76,64,0,0,0,0,0,56,0,56,0
Glendale_Community_College_District,96,102,104,64,44,112,166,62,64,0,0,0,0,0,56,0,56,0
Los_Angeles_Community_College_District,112,94,74,74,44,0,146,60,56,0,0,0,0,0,56,0,56,0
San_Diego_Community_College_District,116,124,118,86,44,0,172,84,74,0,0,0,0,0,56,0,56,0
Chaffey_Community_College_District,44,146,20,116,44,0,134,50,74,0,0,0,0,0,56,0,56,0
Compton_Community_College_District,144,76,22,26,24,0,34,2,26,0,0,0,0,0,56,0,56,0
Peralta_Community_College_District,130,112,92,74,44,0,134,86,74,0,0,0,0,0,56,0,56,0
Antelope_Valley_Community_College_District,172,94,92,56,44,56,116,12,74,0,0,0,0,0,56,0,56,0
Victor_Valley_Community_College_District,30,160,48,50,50,0,90,72,50,0,0,0,0,0,56,0,56,0
Pasadena_Area_Community_College_District,156,144,92,64,44,168,202,76,64,0,0,0,0,0,56,0,56,0
MiraCosta_Community_College_District,122,172,84,86,44,0,168,72,56,0,0,0,0,0,56,0,56,0
Contra_Costa_Community_College_District,276,116,104,100,44,0,202,98,74,0,0,0,0,0,56,0,56,0
Allan_Hancock_Joint_Community_College_District,86,86,74,54,24,0,104,54,36,0,0,0,0,0,56,0,56,0
Ventura_County_Community_College_District,138,160,118,108,52,0,232,98,72,0,0,0,0,0,56,0,56,0
North_Orange_County_Community_College_District,130,84,128,74,32,0,252,84,44,0,0,0,0,0,56,0,56,0
State_Center_Community_College_District,112,144,78,92,90,4,176,68,48,0,0,0,0,0,56,0,56,0
Chabot-Las_Positas_Community_College_District,112,120,74,74,44,0,158,72,56,0,0,0,0,0,56,0,56,0
Sonoma_County_Junior_College_District,64,140,74,64,44,0,162,68,56,0,0,0,0,0,56,0,56,0
Citrus_Community_College_District,36,104,84,74,44,0,152,86,56,0,0,0,0,0,56,0,56,0
Lake_Tahoe_Community_College_District,106,44,44,76,64,0,24,118,84,0,0,0,0,0,56,0,56,0
Sierra_Joint_Community_College_District,130,104,118,80,24,0,176,86,54,0,0,0,0,0,56,0,56,0
Southwestern_Community_College_District,94,92,92,64,44,0,114,40,74,0,0,0,0,0,56,0,56,0
El_Camino_Community_College_District,98,64,88,44,24,0,148,62,36,0,0,0,0,0,56,0,56,0
Sequoias_Community_College_District,44,156,32,64,44,0,142,54,56,0,0,0,0,0,56,0,56,0
Butte-Glenn_Community_College_District,44,128,74,64,44,0,128,54,56,0,0,0,0,0,56,0,56,0
San_Bernardino_Community_College_District,100,130,84,94,52,0,182,84,64,0,0,0,0,0,56,0,56,0
