UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California San Diego,Irvine Valley College,BILD 2,BIO 2; BIO 5; BIO 16,BIO 80; BIO 81,BIO 80H; BIO 81H,
University of California San Diego,Irvine Valley College,BILD 3,BIO 2; BIO 5; BIO 16,BIO 80; BIO 81,BIO 80H; BIO 81H,
University of California San Diego,Irvine Valley College,CHEM 6A,CHEM 1A,,,
University of California San Diego,Irvine Valley College,CHEM 6B,CHEM 1A; CHEM 1B,,,
University of California San Diego,Irvine Valley College,PHYS 2A,PHYS 4A,,,
University of California San Diego,Irvine Valley College,PHYS 2B,PHYS 4B,,,
University of California San Diego,Irvine Valley College,PHYS 4A,Not Articulated,,,
University of California San Diego,Irvine Valley College,PHYS 4B,Not Articulated,,,
University of California Santa Barbara,Irvine Valley College,MATH 3A,MATH 3A,MATH 3AH,,
University of California Santa Barbara,Irvine Valley College,MATH 3B,MATH 3B,MATH 3BH,,
University of California Santa Barbara,Irvine Valley College,MATH 4A,MATH 26,,,
University of California Santa Barbara,Irvine Valley College,MATH 4B,MATH 24,MATH 24H,,
University of California Santa Barbara,Irvine Valley College,CMPSC 16,CS 36,CS 37,,
University of California Santa Barbara,Irvine Valley College,CMPSC 24,CS 41,,,
University of California Santa Barbara,Irvine Valley College,CMPSC 40,CS 6A,MATH 6A,,
University of California Santa Barbara,Irvine Valley College,CMPSC 32,Not Articulated,,,
University of California Santa Barbara,Irvine Valley College,CMPSC 64,CS 40A; CS 40B,,,
University of California Santa Barbara,Irvine Valley College,MATH 6A,MATH 4A,,,
University of California Santa Barbara,Irvine Valley College,PHYS 1,PHYS 4A,,,
University of California Santa Barbara,Irvine Valley College,PHYS 2,PHYS 4A; PHYS 4B; PHYS 4C,,,
University of California Santa Barbara,Irvine Valley College,PHYS 3; PHYS 3L,PHYS 4A; PHYS 4B; PHYS 4C,,,
University of California Santa Barbara,Irvine Valley College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 2A; PHYS 2B,,,
University of California Santa Barbara,Irvine Valley College,PHYS 7A,PHYS 4A,,,
University of California Santa Barbara,Irvine Valley College,PHYS 7B,PHYS 4A; PHYS 4B,,,
University of California Santa Barbara,Irvine Valley College,PHYS 7C,PHYS 4B; PHYS 4C,,,
University of California Santa Barbara,Irvine Valley College,PHYS 7D,PHYS 4C,,,
