UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Los Angeles,MiraCosta College,A,A,1,"PHYSICS 1A - Physics for Scientists and Engineers: Mechanics & PHYSICS 1B - Physics for Scientists and Engineers: Oscillations, Waves, Electric and Magnetic Fields & PHYSICS 1C - Physics for Scientists and Engineers: Electrodynamics, Optics, and Special Relativity",PHYS 151 - Principles of Physics I & PHYS 152 - Principles of Physics II & PHYS 253 - Principles of Physics III,PHYS 151H - Principles of Physics I (Honors) & PHYS 152H - Principles of Physics II (Honors) & PHYS 253H - Principles of Physics III (Honors),,
University of California Los Angeles,MiraCosta College,A,A,1,PHYSICS 4AL - Physics Laboratory for Scientists and Engineers: Mechanics,Not Articulated,,,
University of California Los Angeles,MiraCosta College,A,A,1,PHYSICS 4BL - Physics Laboratory for Scientists and Engineers: Electricity and Magnetism,Not Articulated,,,
University of California Los Angeles,MiraCosta College,A,A,1,"ENGCOMP 3 - English Composition, Rhetoric, and Language",ENGL 100 - Composition and Reading,ENGL 100H - Composition and Reading (Honors),,
University of California Los Angeles,MiraCosta College,A,A,1,,"ENGL 201 - Critical Thinking, Composition, and Literature","ENGL 201H - Critical Thinking, Composition, and Literature (Honors)",ENGL 202 - Critical Thinking and Composition,ENGL 202H - Critical and Thinking and Composition (Honors)
University of California Los Angeles,MiraCosta College,A,A,1,,Not Articulated,,,
University of California Merced,MiraCosta College,A,A,1,CSE 022 - Introduction to Programming,CS 138 - Programming with Python,CS 150 - C++ Programming,,
University of California Merced,MiraCosta College,A,A,1,CSE 030 - Data Structures,CS 113 - Basic Data Structures and Algorithms,,,
University of California Merced,MiraCosta College,A,A,1,MATH 021 - Calculus I for Physical Sciences & Engineering,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),,
University of California Merced,MiraCosta College,A,A,1,MATH 022 - Calculus II for Physical Sciences & Engineering,MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),,
